"Part";"Value";"Device";"Package";"Description";"";
"L1";"FDVE0630-H-1R0M";"INDUCTORTDK_SLF6045";"INDUCTOR_6X6MM_TDK_SLF6045";"Inductors";"";
"MCU";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"http://www.ladyada.net/library/eagle";"";
"PTC2";"";"PTC1206";"1206";"PTC (Resettable Fuse)";"";
"Q1";"8mhz";"CRYSTALHC49S";"HC49/S";"CRYSTAL";"";
"Q2";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"NPN Transistor";"";
"Q3";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"NPN Transistor";"";
"Q4";"PBSS4120T";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"NPN Transistor";"";
"R1";"2k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R5";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"22";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"22";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R14";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R15";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R16";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R17";"34k8";"RESISTOR_0603";"_0603";"Resistors";"";
"R18";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R19";"100";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R20";"11k";"RESISTOR_0603";"_0603";"Resistors";"";
"R21";"17k4";"RESISTOR_0603";"_0603";"Resistors";"";
"R22";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R23";"1m";"RESISTOR_0603";"_0603";"Resistors";"";
"S1";"TL36WO";"TL36WO";"TL3XWO";"TINY SWITCH ON - ON";"";
"S2";"SWITCH-MOMENTARY-2-SMD-1101NE";"SWITCH-MOMENTARY-2-SMD-1101NE";"TACTILE-SWITCH-1101NE";"Various NO switches- pushbuttons, reed, etc";"";
"U$1";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"U$4";"AVRISP-BOX";"AVRISP-BOX";"AVRISP-BOX";"AVR ISP HEADER";"";
"U$11";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"U$18";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"U$19";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"U2";"LTC3872ETS8TRMPBF";"LTC3872ETS8TRMPBF";"SOT65P280X100-8N";"DC/DC Controller";"";
"U3";"SI3460DDV-T1-GE3";"SI3457CDV-T1-GE3";"SOT95P285X110-6N";"N-Channel 30-V (D-S) MOSFET";"";
"X1";"mini-usb";"MINI-USB-SCHIELD-32005-301";"32005-301";"MINI USB-B Conector";"";
"X2";"GLX-S-88M";"GLX-S-88M";"GLX-S-88M";"Mod. Jack, Right Angle, 8 posiotion, 8 contatcs RJ45";"";
"XB1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";
"Z1";"CG0603MLC-05E";"VARISTOR-0603";"0603-RES";"Varistor";"";
"Z2";"CG0603MLC-05E";"VARISTOR-0603";"0603-RES";"Varistor";"";
